instance_name,stretch_index,lower_bound
jupiter/graph_1115.txt,3,3
jupiter/graph_1116.txt,3,2
jupiter/graph_1117.txt,2,2
jupiter/graph_1118.txt,3,2
jupiter/graph_1119.txt,3,3
jupiter/graph_1122.txt,2,2
jupiter/graph_1123.txt,2,2
jupiter/graph_1124.txt,3,2
jupiter/graph_1126.txt,3,2
jupiter/graph_1128.txt,2,2
jupiter/graph_1129.txt,3,2
jupiter/graph_1130.txt,3,2
jupiter/graph_1131.txt,3,2
jupiter/graph_1132.txt,3,2
jupiter/graph_1133.txt,2,2
jupiter/graph_1134.txt,3,3
jupiter/graph_1135.txt,2,2
jupiter/graph_1137.txt,3,2
jupiter/graph_1138.txt,3,2
jupiter/graph_1139.txt,2,2
jupiter/graph_1141.txt,3,2
jupiter/graph_1143.txt,2,2
jupiter/graph_1145.txt,3,2
jupiter/graph_1147.txt,3,2
jupiter/graph_1148.txt,3,2
jupiter/graph_1149.txt,3,2
jupiter/graph_1150.txt,2,2
jupiter/graph_1151.txt,2,2
jupiter/graph_1152.txt,3,2
jupiter/graph_1153.txt,3,2
jupiter/graph_1154.txt,2,2
jupiter/graph_1155.txt,2,2
jupiter/graph_1156.txt,3,2
jupiter/graph_1157.txt,2,2
jupiter/graph_1160.txt,2,2
jupiter/graph_1162.txt,2,2
jupiter/graph_1163.txt,2,2
jupiter/graph_1164.txt,3,3
jupiter/graph_1166.txt,3,2
jupiter/graph_1169.txt,3,2
jupiter/graph_1170.txt,3,3
jupiter/graph_1172.txt,3,2
jupiter/graph_1173.txt,3,2
jupiter/graph_1175.txt,3,2
jupiter/graph_1176.txt,2,2
jupiter/graph_1177.txt,3,3
jupiter/graph_1178.txt,2,2
jupiter/graph_1179.txt,3,2
jupiter/graph_1180.txt,2,2
jupiter/graph_1181.txt,2,2
jupiter/graph_1183.txt,2,2
jupiter/graph_1184.txt,3,2
jupiter/graph_1186.txt,2,2
jupiter/graph_1190.txt,3,2
jupiter/graph_1192.txt,3,2
jupiter/graph_1193.txt,3,2
jupiter/graph_1196.txt,3,3
jupiter/graph_1197.txt,2,2
jupiter/graph_1198.txt,3,2
jupiter/graph_1199.txt,2,2
jupiter/graph_1201.txt,3,2
jupiter/graph_1202.txt,2,2
jupiter/graph_1204.txt,3,3
